Country,Round of 16,Quarter Final,Semi Final,Final,Winner
France,85.82,56.93,36.61,21.94,13.18
Spain,85.31,53.15,31.34,19.0,10.780000000000001
England,86.79,53.38,30.53,17.76,10.299999999999999
Portugal,84.89999999999999,48.85,28.98,15.98,8.690000000000001
Germany,84.59,48.26,27.229999999999997,15.160000000000002,8.21
Netherlands,74.59,43.79,24.46,12.740000000000002,6.7
Italy,78.83,44.800000000000004,24.14,12.94,6.569999999999999
Belgium,82.39,43.89,22.27,10.77,5.08
Croatia,69.47,35.76,18.029999999999998,8.83,4.109999999999999
Switzerland,74.06,36.59,18.4,8.82,3.9899999999999998
Türkiye,69.41000000000001,32.33,15.14,6.81,2.9899999999999998
Denmark,67.4,32.31,14.000000000000002,6.370000000000001,2.6
Serbia,61.919999999999995,27.800000000000004,11.66,5.47,2.22
Austria,53.410000000000004,25.61,11.62,4.7,1.97
Ukraine,65.88000000000001,27.41,11.559999999999999,4.67,1.9
Poland,53.42,25.55,11.379999999999999,4.68,1.77
Scotland,58.96,24.51,10.100000000000001,4.07,1.7000000000000002
Czech Republic,59.63,23.54,9.46,3.6799999999999997,1.59
Romania,61.040000000000006,24.349999999999998,9.180000000000001,3.35,1.3299999999999998
Hungary,52.56999999999999,21.14,8.08,3.11,1.16
Slovenia,50.61,20.19,7.39,2.8400000000000003,1.03
Slovakia,54.449999999999996,19.32,7.470000000000001,2.56,0.91
Georgia,48.88,17.62,6.76,2.36,0.8
Albania,35.67,12.920000000000002,4.21,1.39,0.42
