Country,Round of 16,Quarter Final,Semi Final,Final,Winner
England,89.14999999999999,54.300000000000004,31.56,18.41,10.24
France,85.99,52.16,30.98,17.169999999999998,9.98
Spain,85.92999999999999,52.949999999999996,29.74,17.080000000000002,9.73
Germany,87.58,49.84,29.17,16.580000000000002,9.15
Italy,83.25,49.2,27.73,15.479999999999999,8.59
Belgium,84.09,49.35,28.01,15.370000000000001,8.12
Portugal,84.28999999999999,48.84,27.750000000000004,14.7,8.09
Denmark,79.97999999999999,40.97,20.79,10.68,5.26
Netherlands,78.16,43.26,22.71,11.07,5.140000000000001
Serbia,74.05000000000001,36.02,16.470000000000002,7.829999999999999,3.71
Ukraine,68.55,33.1,15.49,7.26,3.2399999999999998
Croatia,66.05,32.550000000000004,14.829999999999998,6.83,2.94
Czech Republic,66.61,30.869999999999997,14.35,6.279999999999999,2.68
Switzerland,65.2,27.310000000000002,11.66,4.9399999999999995,2.03
Romania,64.19,28.12,12.41,5.220000000000001,1.9900000000000002
Georgia,62.21,27.13,11.690000000000001,4.74,1.96
Scotland,63.67,26.93,10.879999999999999,4.52,1.79
Poland,56.95,24.7,10.42,4.15,1.58
Slovakia,49.15,19.07,7.17,2.53,0.97
Hungary,52.32,19.93,7.64,2.81,0.91
Türkiye,50.54,18.4,6.94,2.36,0.77
Austria,44.75,16.669999999999998,6.35,2.29,0.7000000000000001
Albania,33.67,11.459999999999999,3.46,1.13,0.29
Slovenia,23.669999999999998,6.87,1.7999999999999998,0.5700000000000001,0.13999999999999999
