Team,FIFA23_Score,GPT_Score,Gemini_Score,Llama3_Score
Germany,0.7850590970757355,0.85,0.8,0.85
England,0.864525760267854,0.9,0.75,0.86
France,0.7546158357882892,0.95,0.85,0.85
Italy,0.7599326732718504,0.8,0.7,0.82
Portugal,0.4379279701367167,0.85,0.8,0.81
Spain,0.8830608345824561,0.9,0.8,0.85
Belgium,0.6679138800712702,0.75,0.8,0.82
Netherlands,0.7213698965146546,0.8,0.7,0.73
Croatia,0.5537623282846966,0.7,0.7,0.62
Denmark,0.5658704964707788,0.65,0.6,0.72
Poland,0.5548331962154358,0.6,0.6,0.52
Austria,0.525342562131768,0.6,0.5,0.42
Czech Republic,0.7169571583423777,0.55,0.6,0.6
Scotland,0.5429632839282609,0.55,0.4,0.55
Ukraine,0.6461226033029349,0.55,0.5,0.63
Hungary,0.6104255207603243,0.5,0.45,0.45
Romania,0.5613375515735599,0.5,0.4,0.575
Switzerland,0.5232924946913277,0.7,0.6,0.56
Slovenia,0.4281494556635095,0.5,0.4,0.23
Türkiye,0.46572871461473064,0.65,0.5,0.45
Serbia,0.40898081229556543,0.6,0.6,0.65
Georgia,0.24427992370412765,0.45,0.3,0.55
Slovakia,0.2090434355199018,0.45,0.5,0.45
Albania,0.14926018028599047,0.4,0.4,0.35
